ภูมิภาคอย่างเป็นทางการ,All,,,
กรุงเทพปริมณฑลต่างจังหวัด,All,,,
,,,,
ProvinceThai,DistrictThaiShort,Distinct Count of PostCode,All Post Code,
,จุฬาภรณ์,2,80130/80180,
,ฉวาง,3,80150/80250/80260,
,เฉลิมพระเกียรติ,3,80190/80290/80350,
,ชะอวด,1,80180,
,ช้างกลาง,2,80220/80250,
,เชียรใหญ่,1,80190,
,ถ้ำพรรณรา,1,80260,
,ท่าศาลา,1,80160,
,ทุ่งสง,2,80110/80310,
,ทุ่งใหญ่,1,80240,
,นบพิตำ,1,80160,
,นาบอน,2,80220/80250,
,บางขัน,1,80360,
,ปากพนัง,2,80140/80330,
,พรหมคีรี,1,80320,
,พระพรหม,1,80000,
,พิปูน,1,80270,
,เมืองนครศรีธรรมราช,4,80000/80280/80290/80330,
,ร่อนพิบูลย์,2,80130/80350,
,ลานสกา,1,80230,
,สิชล,2,80120/80340,
,หัวไทร,1,80170,
นครศรีธรรมราช Total,,25,80000/80110/80120/80130/80140/80150/80160/80170/80180/80190/80210/80220/80230/80240/80250/80260/80270/80280/80290/80310/80320/80330/80340/80350/80360,
นครสวรรค์,เก้าเลี้ยว,1,60230,
,โกรกพระ,1,60170,
,ชุมตาบง,1,60150,
,ชุมแสง,2,60120/60250,
,ตากฟ้า,1,60190,
,ตาคลี,3,60140/60210/60260,
,ท่าตะโก,1,60160,
,บรรพตพิสัย,1,60180,
,พยุหะคีรี,1,60130,
,ไพศาลี,1,60220,
,เมืองนครสวรรค์,2,60000/60240,
,แม่เปิน,1,60150,
,แม่วงก์,1,60150,
,ลาดยาว,1,60150,
,หนองบัว,1,60110,
นครสวรรค์ Total,,16,60000/60110/60120/60130/60140/60150/60160/60170/60180/60190/60210/60220/60230/60240/60250/60260,
นนทบุรี,ไทรน้อย,1,11150,
,บางกรวย,1,11130,
,บางบัวทอง,1,11110,
,บางใหญ่,1,11140,
,ปากเกร็ด,1,11120,
,เมืองนนทบุรี,1,11000,
นนทบุรี Total,,6,11000/11110/11120/11130/11140/11150,
นราธิวาส,จะแนะ,1,96220,
,เจาะไอร้อง,1,96130,
,ตากใบ,1,96110,
,บาเจาะ,1,96170,
,เมืองนราธิวาส,1,96000,
,ยี่งอ,1,96180,
,ระแงะ,2,96130/96220,
,รือเสาะ,1,96150,
,แว้ง,1,96160,
,ศรีสาคร,1,96210,
,สุคิริน,1,96190,
,สุไหงโก-ลก,1,96120,
,สุไหงปาดี,1,96140,
นราธิวาส Total,,12,96000/96110/96120/96130/96140/96150/96160/96170/96180/96190/96210/96220,
น่าน,เฉลิมพระเกียรติ,2,55130/55220,
,เชียงกลาง,1,55160,
,ท่าวังผา,1,55140,
,ทุ่งช้าง,1,55130,
,นาน้อย,1,55150,
,นาหมื่น,1,55180,
,บ่อเกลือ,1,55220,
,บ้านหลวง,1,55190,
,ปัว,1,55120,
,ภูเพียง,1,55000,
,เมืองน่าน,1,55000,
,แม่จริม,1,55170,
,เวียงสา,1,55110,
,สองแคว,1,55160,
,สันติสุข,1,55210,
น่าน Total,,12,55000/55110/55120/55130/55140/55150/55160/55170/55180/55190/55210/55220,
บึงกาฬ,เซกา,1,38150,
,โซ่พิสัย,1,38170,
,บึงโขงหลง,1,38220,
,บุ่งคล้า,1,38000,
,ปากคาด,1,38190,
,พรเจริญ,1,38180,
,เมืองบึงกาฬ,1,38000,
,ศรีวิไล,1,38210,
บึงกาฬ Total,,7,38000/38150/38170/38180/38190/38210/38220,
บุรีรัมย์,กระสัง,1,31160,
,คูเมือง,1,31190,
,แคนดง,1,31150,
,เฉลิมพระเกียรติ,2,31110/31170,
,ชำนิ,1,31110,
,นางรอง,1,31110,
,นาโพธิ์,1,31230,
,โนนดินแดง,1,31260,
,โนนสุวรรณ,1,31110,
,บ้านกรวด,1,31180,
,บ้านด่าน,1,31000,
,บ้านใหม่ไชยพจน์,1,31120,
,ประโคนชัย,1,31140,
